,Year,State,Fips,CountyName,Region,EstimatedValue
80,2011,Georgia,13163,Jefferson,Central,228127.67
81,2011,Georgia,13165,Jenkins,Southeast,145122.03
82,2011,Georgia,13167,Johnson,Southeast,152287.95
83,2011,Georgia,13169,Jones,Central,190431.52
84,2011,Georgia,13171,Lamar,Central,91284.71
85,2011,Georgia,13173,Lanier,Southwest,100829.91
86,2011,Georgia,13175,Laurens,Southeast,322769.67
87,2011,Georgia,13177,Lee,Central,121869.24
88,2011,Georgia,13179,Liberty,Southeast,213225.66
89,2011,Georgia,13181,Lincoln,Central,103479.77
90,2011,Georgia,13183,Long,Southeast,225808.13
91,2011,Georgia,13185,Lowndes,Southwest,204655.22
92,2011,Georgia,13187,Lumpkin,North,147415.27
93,2011,Georgia,13189,McDuffie,Central,110469.87
94,2011,Georgia,13191,McIntosh,Southeast,151819.51
95,2011,Georgia,13193,Macon,Central,140714.9
96,2011,Georgia,13195,Madison,North Central,88379.58
97,2011,Georgia,13197,Marion,Central,174200.72
98,2011,Georgia,13199,Meriwether,North Central,254712.68
99,2011,Georgia,13201,Miller,Southwest,69907.04
100,2011,Georgia,13205,Mitchell,Southwest,132662.76
101,2011,Georgia,13207,Monroe,Central,185372.05
102,2011,Georgia,13209,Montgomery,Southeast,129052.25
103,2011,Georgia,13211,Morgan,Central,153370.2
104,2011,Georgia,13213,Murray,North,136132.41
105,2011,Georgia,13215,Muscogee,Central,65730.05
106,2011,Georgia,13217,Newton,North Central,69794.4
107,2011,Georgia,13219,Oconee,North Central,66817.47
108,2011,Georgia,13221,Oglethorpe,North Central,229928.74
109,2011,Georgia,13223,Paulding,North Central,112785.1
110,2011,Georgia,13225,Peach,Central,35924.28
111,2011,Georgia,13227,Pickens,North,107647.04
112,2011,Georgia,13229,Pierce,Southeast,110370.83
113,2011,Georgia,13231,Pike,Central,94754.87
114,2011,Georgia,13233,Polk,North Central,126508.59
115,2011,Georgia,13235,Pulaski,Central,79532.43
116,2011,Georgia,13237,Putnam,Central,142272.76
117,2011,Georgia,13239,Quitman,Central,83430.37
118,2011,Georgia,13241,Rabun,North,223052.61
119,2011,Georgia,13243,Randolph,Central,168316.13
120,2011,Georgia,13245,Richmond,Central,122181.22
121,2011,Georgia,13247,Rockdale,North Central,21122.25
122,2011,Georgia,13249,Schley,Central,112169.9
123,2011,Georgia,13251,Screven,Southeast,316044.83
124,2011,Georgia,13253,Seminole,Southwest,40428.3
125,2011,Georgia,13255,Spalding,North Central,79202.45
126,2011,Georgia,13257,Stephens,North,90261.64
127,2011,Georgia,13259,Stewart,Central,235293.49
128,2011,Georgia,13261,Sumter,Central,183480.51
129,2011,Georgia,13263,Talbot,Central,207988.77
130,2011,Georgia,13265,Taliaferro,Central,116620.29
131,2011,Georgia,13267,Tattnall,Southeast,181072.44
132,2011,Georgia,13269,Taylor,Central,223968.44
133,2011,Georgia,13271,Telfair,Southeast,245877.5
134,2011,Georgia,13273,Terrell,Central,149791.23
135,2011,Georgia,13275,Thomas,Southwest,196209.09
136,2011,Georgia,13277,Tift,Southwest,78942.56
137,2011,Georgia,13279,Toombs,Southeast,152904.61
138,2011,Georgia,13281,Towns,North,69371.42
139,2011,Georgia,13283,Treutlen,Southeast,107552.28
140,2011,Georgia,13285,Troup,North Central,185554.12
141,2011,Georgia,13287,Turner,Southwest,69754.33
142,2011,Georgia,13289,Twiggs,Central,200739.26
143,2011,Georgia,13291,Union,North,159727.47
144,2011,Georgia,13293,Upson,Central,143236.75
145,2011,Georgia,13295,Walker,North,151114.28
146,2011,Georgia,13297,Walton,North Central,122897.37
147,2011,Georgia,13299,Ware,Southeast,466700.06
148,2011,Georgia,13301,Warren,Central,160490.79
149,2011,Georgia,13303,Washington,Central,292560.48
150,2011,Georgia,13305,Wayne,Southeast,354658.41
151,2011,Georgia,13307,Webster,Central,71358.52
152,2011,Georgia,13309,Wheeler,Southeast,150600.72
153,2011,Georgia,13311,White,North,120980.29
154,2011,Georgia,13313,Whitfield,North,87384.66
155,2011,Georgia,13315,Wilcox,Southwest,169226.28
156,2011,Georgia,13317,Wilkes,Central,204338.41
157,2011,Georgia,13319,Wilkinson,Central,263043.26
